Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionRate,TrainRate,SwitchRate,IsRecentlyPromoted,IsNewInRole,IsNewInCompany,IsFemaleLowSatisfaction,Age_YearsAtCompany,JobSatisfaction_MonthlyIncome,YearsWithCurrManager_JobInvolvement
41,1,Travel_Rarely,1,2,Life Sciences,2,1,3,2,Sales Executive,4,Single,8.69851424787661,8,1,11,3,1,0,2.1972245773362196,0,1,1.9459101490553132,4,0.0,5,1.9459101490553132,0.0,2.502170181196728,1,0,0,0,79.78231611126785,34.79405699150644,15
49,0,Travel_Frequently,8,1,Life Sciences,3,0,2,2,Research Scientist,2,Married,8.543055850941965,1,0,23,4,4,1,2.3978952727983707,3,3,2.3978952727983707,7,0.6931471805599453,7,1.4162355761684913,0.8828994889914074,0.2942998296638024,1,0,0,1,117.49686836712016,17.08611170188393,14
37,1,Travel_Rarely,2,2,Other,4,0,2,1,Laboratory Technician,3,Single,7.645397699428633,6,1,15,3,2,0,2.0794415416798357,3,3,0.0,0,0.0,0,0.0,3.0,1.9484052282827227,1,1,1,0,0.0,22.936193098285898,0
33,0,Travel_Frequently,3,4,Life Sciences,4,1,3,1,Research Scientist,3,Married,7.975908360165538,1,1,11,3,3,0,2.1972245773362196,3,3,2.1972245773362196,7,1.3862943611198906,0,0.9207684572095537,0.9383138179487729,0.312771272649591,0,0,0,0,72.50841105209524,23.927725080496614,0
27,0,Travel_Rarely,2,1,Medical,1,0,3,1,Laboratory Technician,2,Married,8.15162164696975,9,0,12,3,4,1,1.9459101490553132,3,3,1.0986122886681098,2,1.0986122886681098,2,0.5234946419594956,1.429516074121513,3.0550829946005296,0,0,0,1,29.662531794038966,16.3032432939395,6
32,0,Travel_Frequently,2,2,Life Sciences,4,0,3,1,Laboratory Technician,4,Single,8.029107054619736,0,0,13,3,3,0,2.1972245773362196,2,2,2.0794415416798357,7,1.3862943611198906,6,0.8714103237053921,0.6494684094275742,0.0,0,0,0,0,66.54212933375474,32.116428218478944,18
59,0,Travel_Rarely,3,3,Medical,3,1,4,1,Laboratory Technician,1,Married,7.890208213109961,4,1,20,4,1,3,2.5649493574615367,3,2,0.6931471805599453,0,0.0,0,0.6931471805599453,1.7718483274489236,1.1220355743982422,1,1,1,0,40.89568365303677,7.890208213109961,0
30,0,Travel_Rarely,24,1,Life Sciences,4,0,3,1,Laboratory Technician,3,Divorced,7.898782356970309,1,0,22,4,2,1,0.6931471805599453,2,3,0.6931471805599453,0,0.0,0,0.6931471805599453,1.1812322182992825,0.5906161091496412,1,1,1,0,20.79441541679836,23.696347070910928,0
38,0,Travel_Frequently,23,3,Life Sciences,4,0,2,3,Manufacturing Director,3,Single,9.161885151706779,0,0,21,4,2,0,2.3978952727983707,2,3,2.302585092994046,7,0.6931471805599453,8,1.359943848610108,0.6055862131282277,0.0,1,0,0,0,87.49823353377374,27.485655455120337,16
36,0,Travel_Rarely,27,3,Medical,3,0,3,2,Healthcare Representative,3,Married,8.563695025067657,6,0,13,3,2,2,2.8903717578961645,3,2,2.0794415416798357,7,2.0794415416798357,7,0.6752657952862129,0.9742026141413613,1.5422690615162908,0,0,0,0,74.85989550047408,25.69108507520297,21
35,0,Travel_Rarely,16,3,Medical,1,0,4,1,Laboratory Technician,2,Married,7.794411205726601,0,0,13,3,3,1,1.9459101490553132,5,3,1.791759469228055,4,0.0,3,1.791759469228055,1.7909852389190757,0.0,1,0,0,1,62.71158142298192,15.588822411453203,12
29,0,Travel_Rarely,15,2,Life Sciences,4,1,2,2,Laboratory Technician,3,Single,8.341410211461865,0,1,12,3,4,0,2.3978952727983707,3,3,2.302585092994046,5,0.0,8,2.302585092994046,0.9083793196923415,0.0,1,0,0,0,66.77496769682733,25.024230634385596,16
31,0,Travel_Rarely,26,1,Life Sciences,1,0,3,1,Research Scientist,3,Divorced,7.976595409316577,1,0,17,3,4,1,1.791759469228055,1,2,1.791759469228055,2,1.6094379124341003,3,0.6866457564252564,0.3581970477838151,0.3581970477838151,0,0,0,0,55.544543546069704,23.92978622794973,9
34,0,Travel_Rarely,19,2,Medical,2,0,3,1,Laboratory Technician,4,Divorced,7.8868329989550565,0,0,11,3,3,1,1.3862943611198906,2,3,1.0986122886681098,2,0.6931471805599453,2,0.6488581153971414,0.9530107160810086,0.0,1,0,0,0,37.352817814715735,31.547331995820226,6
28,1,Travel_Rarely,24,3,Life Sciences,3,0,2,1,Laboratory Technician,3,Single,7.615298339825815,5,1,14,3,2,0,1.9459101490553132,4,3,1.6094379124341003,2,0.0,3,1.6094379124341003,1.53289717334902,1.6972683303336276,1,0,0,0,45.06426154815481,22.845895019477446,6
29,0,Travel_Rarely,21,4,Life Sciences,2,1,4,3,Manufacturing Director,1,Divorced,9.208438564686587,1,0,11,3,3,1,2.3978952727983707,1,3,2.3978952727983707,9,2.1972245773362196,8,0.7499927561535845,0.2942998296638024,0.2942998296638024,0,0,0,0,69.53896291115275,9.208438564686587,32
32,0,Travel_Rarely,5,2,Life Sciences,1,0,4,1,Research Scientist,2,Divorced,8.101374671228582,0,1,12,3,4,2,2.0794415416798357,5,2,1.9459101490553132,2,0.0,5,1.9459101490553132,1.6972683303336276,0.0,1,0,0,1,62.26912476977002,16.202749342457164,20
22,0,Non-Travel,16,2,Medical,4,0,4,1,Laboratory Technician,4,Divorced,7.984803389734406,1,1,13,3,2,2,0.6931471805599453,2,2,0.6931471805599453,0,0.0,0,0.6931471805599453,1.1812322182992825,0.5906161091496412,1,1,1,0,15.249237972318797,31.939213558937624,0
53,0,Travel_Rarely,2,4,Life Sciences,1,1,2,4,Manager,4,Married,9.643939319328119,2,0,16,3,3,0,3.4657359027997265,3,3,3.258096538021482,8,1.3862943611198906,7,1.365337232114337,0.7045401561971034,0.4478545179409579,0,0,0,0,172.67911651513856,38.575757277312476,14
38,0,Travel_Rarely,2,3,Life Sciences,4,0,3,1,Research Scientist,4,Single,8.280204233279974,5,1,11,3,3,0,1.9459101490553132,3,3,1.3862943611198906,2,0.6931471805599453,2,0.8187677817007174,1.2571793525892154,1.6972683303336276,1,0,0,0,52.67918572255584,33.1208169331199,6
24,0,Non-Travel,11,2,Other,1,1,4,2,Manufacturing Director,3,Divorced,8.297045149081827,0,0,18,3,4,1,1.791759469228055,5,2,1.6094379124341003,2,0.6931471805599453,3,0.9505599577597493,1.916121466686275,0.0,1,0,0,0,38.626509898418405,24.89113544724548,12
36,1,Travel_Rarely,9,4,Life Sciences,3,0,2,1,Sales Representative,1,Single,8.133880887949207,7,0,23,4,2,0,2.3978952727983707,4,3,1.791759469228055,3,0.0,3,1.791759469228055,1.4327881911352605,2.060098807646617,1,0,0,1,64.50334089220998,8.133880887949207,6
34,0,Travel_Rarely,7,4,Life Sciences,1,1,3,3,Research Director,2,Single,9.392245175273795,0,0,11,3,3,0,2.6390573296152584,4,3,2.5649493574615367,6,1.0986122886681098,11,1.2222121119329712,1.1220355743982422,0.0,0,0,0,0,87.20827815369225,18.78449035054759,33
